date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:23:15	21631/21631	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Jan%202023%2020:53:14%20GMT	https://luukthe.dev/about	test/luuk-portfolio/luukthe.dev/about.html	(from https://luukthe.dev/)
02:23:16	16877/16877	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Jan%202023%2020:53:16%20GMT	https://luukthe.dev/work	test/luuk-portfolio/luukthe.dev/work.html	(from https://luukthe.dev/)
02:23:16	12292/12292	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Jan%202023%2020:53:17%20GMT	https://luukthe.dev/contact	test/luuk-portfolio/luukthe.dev/contact.html	(from https://luukthe.dev/)
02:23:18	19440/19440	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Jan%202023%2020:53:17%20GMT	https://luukthe.dev/work/airborne	test/luuk-portfolio/luukthe.dev/work/airborne.html	(from https://luukthe.dev/)
02:23:18	7590/7590	---M--	200	added ('OK')	image/webp	date:Tue,%2003%20Jan%202023%2020:53:18%20GMT	https://luukthe.dev/c/420x0/work-airborne.webp	test/luuk-portfolio/luukthe.dev/c/420x0/work-airborne.webp	(from https://luukthe.dev/)
02:23:20	21381/21381	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Jan%202023%2020:53:19%20GMT	https://luukthe.dev/work/wateetons	test/luuk-portfolio/luukthe.dev/work/wateetons.html	(from https://luukthe.dev/)
02:23:20	22912/22912	---M--	200	added ('OK')	image/webp	date:Tue,%2003%20Jan%202023%2020:53:20%20GMT	https://luukthe.dev/c/420x0/work-wateetons.webp	test/luuk-portfolio/luukthe.dev/c/420x0/work-wateetons.webp	(from https://luukthe.dev/)
02:23:22	20588/20588	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Jan%202023%2020:53:21%20GMT	https://luukthe.dev/work/mwsolutions	test/luuk-portfolio/luukthe.dev/work/mwsolutions.html	(from https://luukthe.dev/)
02:23:22	37130/37130	---M--	200	added ('OK')	image/webp	date:Tue,%2003%20Jan%202023%2020:53:22%20GMT	https://luukthe.dev/c/420x0/work-mwsolutions.webp	test/luuk-portfolio/luukthe.dev/c/420x0/work-mwsolutions.webp	(from https://luukthe.dev/)
02:23:24	13448/13448	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Jan%202023%2020:53:23%20GMT	https://luukthe.dev/docs	test/luuk-portfolio/luukthe.dev/docs.html	(from https://luukthe.dev/)
02:23:25	18120/18120	---M--	200	added ('OK')	font/woff2	date:Fri,%2026%20Aug%202022%2010:49:09%20GMT	https://luukthe.dev/fonts/Altinn-DINExp.woff2?3f9a0a0052051acfbf69966bb8f1e5ff	test/luuk-portfolio/luukthe.dev/fonts/Altinn-DINExp5394.woff2	(from https://luukthe.dev/css/awesomestyles.css?id=4d8446f7fcd7246428e08355938c53c0)
